Company Name,Sales,Operating Income,Net Income,Operating CF,,단위: 억 원
칩스앤미디어,141 ,20 ,26 ,29 ,<-,18년
,161 ,36 ,45 ,29 ,<-,19년
,154 ,24 ,19 ,47 ,<-,20년
,200 ,52 ,63 ,99 ,<-,21년
,241 ,73 ,100 ,152 ,<-,22년
브이티지엠피,"1,095 ",134 ,107 ,-110 ,<-,18년
,"1,128 ",103 ,34 ,-35 ,<-,19년
,"1,074 ",55 ,-13 ,-32 ,<-,20년
,"2,268 ",264 ,175 ,488 ,<-,21년
,"2,402 ",236 ,132 ,540 ,<-,22년
제이브이엠,"1,036 ",133 ,82 ,199 ,<-,18년
,"1,101 ",105 ,58 ,186 ,<-,19년
,"1,154 ",157 ,104 ,198 ,<-,20년
,"1,158 ",125 ,90 ,261 ,<-,21년
,"1,420 ",220 ,158 ,148 ,<-,22년
와이지-원,"3,909 ",457 ,219 ,315 ,<-,18년
,"4,280 ",132 ,6 ,344 ,<-,19년
,"3,742 ",-158 ,-366 ,745 ,<-,20년
,"4,578 ",430 ,221 ,909 ,<-,21년
,"5,498 ",726 ,334 ,131 ,<-,22년
텔레칩스,"1,261 ",82 ,92 ,187 ,<-,18년
,"1,322 ",76 ,83 ,248 ,<-,19년
,"1,007 ",-85 ,-94 ,-154 ,<-,20년
,"1,364 ",81 ,70 ,127 ,<-,21년
,"1,504 ",92 ,459 ,-73 ,<-,22년
이노와이어리스,640 ,2 ,2 ,18 ,<-,18년
,968 ,153 ,131 ,223 ,<-,19년
,930 ,138 ,131 ,150 ,<-,20년
,907 ,134 ,152 ,138 ,<-,21년
,"1,329 ",143 ,135 ,135 ,<-,22년
세종메디칼,148 ,32 ,36 ,18 ,<-,18년
,162 ,38 ,31 ,45 ,<-,19년
,151 ,-5 ,5 ,-5 ,<-,20년
,180 ,-15 ,-59 ,-90 ,<-,21년
